cps_identifier,logrhk,age
10002,-5.041,6.45
10008,-4.414,0.46
100180,-4.916,4.12
100623,-4.89,3.74
101259,-5.118,8.37
10145,-4.929,4.32
101501,-4.526,0.99
102158,-4.965,4.93
103095,-4.774,2.44
103432,-4.614,1.4
103829,-4.924,4.24
103932,-4.892,3.77
104067,-4.683,1.78
104304,-5.026,6.13
10436,-4.544,1.07
104556,-5.186,10.36
10476,-4.905,3.96
104800,-4.883,3.64
105113,-4.99,5.4
105618,-5.136,8.86
105631,-4.627,1.47
106116,-5.047,6.6
106156,-4.683,1.78
10697,-5.047,6.6
10700,-4.958,4.8
107148,-5.027,6.15
10780,-4.671,1.7
10790,-4.971,5.03
10853,-4.425,0.51
108874,-5.064,6.99
109358,-4.937,4.45
11020,-4.998,5.55
110315,-4.933,4.38
110537,-5.037,6.37
110897,-4.966,4.95
111031,-5.08,7.37
111395,-4.533,1.02
111484a,-4.641,1.54
111484b,-4.783,2.52
111515,-4.931,4.35
111631,-4.699,1.88
112257,-4.864,3.4
112914,-4.777,2.47
114174,-4.856,3.3
114613,-5.085,7.5
114729,-5.043,6.5
114762,-5.281,13.51
114783,-4.951,4.69
114946,-5.041,6.45
115404a,-4.46,0.69
115589,-5.036,6.34
115617,-4.951,4.68
116321,-5.001,5.61
116442,-5.0,5.59
116443,-4.975,5.1
116956,-4.359,0.22
117176,-5.121,8.45
117207,-5.023,6.06
117936,-4.548,1.09
118914,-5.08,7.37
11964a,-5.171,9.88
119850,-4.872,3.5
120066,-4.969,5.0
120136,-5.006,5.71
120467,-4.814,2.82
120476a,-4.623,1.44
12051,-5.033,6.27
122064,-4.91,4.03
122120,-4.757,2.3
122303,-4.678,1.75
122652,-4.681,1.76
124106,-4.532,1.02
124292,-5.028,6.16
124642,-4.473,0.75
125184,-5.083,7.47
125455,-4.955,4.74
126053,-4.95,4.67
12661,-5.022,6.04
126614,-5.119,8.38
127334,-5.069,7.11
128165,-4.763,2.35
128311,-4.434,0.56
12846,-4.937,4.45
129010,-5.084,7.49
129814,-4.937,4.45
130004,-4.731,2.1
130307,-4.613,1.4
130322,-4.741,2.17
13043,-4.986,5.31
130871,-4.797,2.66
130992,-4.762,2.34
131117,-5.114,8.24
131156,-4.331,0.12
131509,-5.131,8.72
132142,-4.923,4.22
132505,-5.07,7.13
1326,-5.097,7.82
1326b,-5.082,7.43
134439,-5.007,5.74
134440,-4.962,4.87
134987,-5.08,7.39
135101a,-5.067,7.05
13612b,-4.93,4.33
136352,-4.914,4.09
136442,-5.298,14.13
136713,-4.755,2.28
136834,-4.937,4.45
136925,-4.996,5.51
137778,-4.424,0.51
138549,-4.934,4.4
138776,-4.943,4.54
1388,-4.965,4.92
13931,-4.999,5.57
139323,-4.925,4.25
139457,-5.029,6.2
139477,-4.48,0.78
13997,-4.917,4.14
140538a,-4.817,2.85
141004,-4.958,4.8
141272,-4.396,0.38
141399,-5.009,5.77
142229,-4.366,0.24
142267,-4.901,3.89
143291,-4.901,3.89
143761,-5.051,6.69
14412,-4.857,3.31
144287,-5.013,5.86
144579,-4.96,4.84
144585,-5.064,6.98
144988,-4.9,3.88
145675,-5.042,6.49
145809,-5.074,7.23
145934,-5.301,14.24
145958a,-4.929,4.31
145958b,-4.923,4.23
1461,-5.009,5.76
146233,-4.961,4.85
146362b,-4.621,1.44
146775,-4.906,3.96
147231,-5.031,6.23
147379a,-4.636,1.51
147379b,-4.811,2.8
148467,-4.743,2.19
149661,-4.6,1.33
149724,-5.079,7.35
149806,-4.871,3.49
150433,-4.936,4.42
150437,-5.112,8.21
150698,-5.213,11.2
151288,-4.654,1.61
151541,-5.002,5.63
151877,-4.828,2.97
151995,-4.829,2.99
152391,-4.493,0.84
152792,-5.078,7.32
15335,-5.061,6.92
153458,-4.56,1.15
153525,-4.48,0.78
153557,-4.478,0.77
154088,-5.061,6.92
154345,-4.766,2.37
154363,-4.779,2.49
155712,-4.961,4.86
156026,-4.656,1.62
156279,-4.952,4.7
156365,-5.127,8.62
156668,-4.889,3.72
156826,-4.986,5.31
156985,-4.819,2.88
157172,-5.053,6.73
157214,-4.984,5.28
157338,-4.91,4.02
157347,-4.964,4.91
157881,-4.579,1.23
158633,-4.942,4.53
159062,-4.946,4.59
159063,-5.036,6.36
159222,-4.897,3.84
160693,-4.862,3.37
16141,-5.051,6.68
16160,-4.93,4.33
161797,-5.106,8.06
161848,-4.903,3.92
16275,-4.972,5.05
16287,-4.415,0.46
163153,-5.053,6.74
163489,-5.332,15.38
16397,-4.869,3.46
164507,-5.006,5.71
164595,-4.961,4.85
164922,-5.069,7.12
165222,-4.781,2.51
165401,-4.659,1.64
166,-4.381,0.31
16623,-4.934,4.41
166620,-5.002,5.62
167042,-5.129,8.67
167215,-4.798,2.67
167216,-4.974,5.09
167389,-4.575,1.21
167665,-4.816,2.84
168009,-4.988,5.34
168443,-5.087,7.55
168746,-5.013,5.84
169830,-5.095,7.76
170174,-5.35,16.08
170469,-5.068,7.09
170493,-4.731,2.1
170657,-4.622,1.44
171067,-4.922,4.2
171665,-4.926,4.27
17190,-4.82,2.88
171918,-5.028,6.18
172051,-4.947,4.61
17230,-4.728,2.08
172310,-4.883,3.64
172513,-4.739,2.16
173701,-4.906,3.97
173739,-5.248,12.39
173740,-5.174,9.98
173818,-4.528,1.0
17382,-4.433,0.55
174080,-4.438,0.58
175541,-5.183,10.24
176377,-4.85,3.23
17660,-4.6,1.33
176982,-5.115,8.3
177153,-5.172,9.92
177830,-5.311,14.63
178911b,-4.909,4.01
179949,-4.612,1.39
179957,-4.91,4.02
179958,-4.925,4.25
180161,-4.471,0.74
180617,-4.819,2.88
180684,-5.023,6.06
181234,-5.098,7.84
18143,-5.12,8.42
182488,-5.015,5.89
182572,-4.981,5.22
1832,-4.867,3.43
183263,-5.055,6.77
183650,-5.077,7.29
183658,-4.945,4.58
183870,-4.46,0.68
18445,-4.641,1.54
185144,-4.84,3.11
185295,-5.173,9.94
185414,-4.848,3.2
18632,-4.305,0.06
186408,-5.052,6.72
186427,-5.042,6.48
187123,-5.015,5.89
187237,-4.74,2.17
187897,-4.493,0.84
187923,-4.998,5.55
188015,-5.003,5.64
18803,-4.9,3.88
188510,-4.946,4.6
188512,-5.176,10.04
189625,-4.812,2.81
189733,-4.445,0.61
190007,-4.653,1.6
190067,-4.933,4.38
19034,-4.867,3.43
190360,-5.105,8.03
190404,-5.005,5.7
190406,-4.85,3.23
191408,-4.978,5.16
191785,-5.024,6.08
192020,-4.441,0.59
192263,-4.464,0.7
192310,-4.962,4.87
192343,-5.042,6.49
192344,-5.096,7.78
19308,-5.005,5.68
193202,-4.777,2.47
19373,-5.033,6.28
193795,-5.013,5.86
193901,-4.866,3.43
19467,-4.969,5.0
195019,-4.989,5.36
195019b,-4.788,2.58
195564,-5.151,9.28
196201,-4.947,4.62
196761,-4.937,4.45
196850,-4.975,5.11
197076,-4.871,3.49
198425,-4.548,1.09
198802,-5.013,5.85
199305,-4.525,0.99
199476,-4.905,3.95
199960,-5.0,5.6
200538,-4.949,4.65
200565,-4.746,2.21
200968,-4.468,0.72
201091,-4.77,2.41
201092,-4.476,0.76
201203,-4.815,2.84
20165,-4.882,3.63
2025,-4.718,2.01
202575,-4.356,0.2
202751,-4.978,5.17
204587,-4.833,3.03
20619,-4.8,2.68
206387,-4.24,0.0
20675,-4.874,3.53
207874,-5.01,5.78
208038,-4.439,0.58
208313,-4.774,2.44
208801,-5.213,11.2
209290,-4.474,0.75
209458,-4.959,4.83
209875,-5.035,6.33
21019a,-5.062,6.95
210277,-5.064,7.0
210302,-4.958,4.79
210312,-5.067,7.05
210392,-5.092,7.69
210460,-4.732,2.11
211038,-5.185,10.3
211080,-5.174,9.98
211681,-4.867,3.44
21197,-4.691,1.83
212291,-4.814,2.82
212801,-4.808,2.77
213042,-4.783,2.53
21313,-5.052,6.71
213472,-5.092,7.67
213519,-5.033,6.29
213628,-4.998,5.55
214683,-4.475,0.76
214749,-4.412,0.45
215152,-4.849,3.21
215578,-5.25,12.43
216259,-4.932,4.37
216520,-4.908,4.0
216899,-4.607,1.36
217004,-5.119,8.4
217014,-5.05,6.65
217107,-5.087,7.55
217165,-4.956,4.77
217357,-4.612,1.39
21774,-5.122,8.48
217877,-5.018,5.96
217987,-4.695,1.85
218168,-4.489,0.82
218209,-4.821,2.9
21847,-4.644,1.56
218566,-4.91,4.03
218868,-4.842,3.13
219134,-4.904,3.95
219538,-4.809,2.77
219542,-4.854,3.27
219834b,-4.985,5.29
219953,-4.954,4.73
220221,-4.545,1.08
220339,-4.81,2.78
22049,-4.477,0.77
22072,-5.162,9.61
221354,-5.055,6.78
221356,-4.983,5.26
221851,-4.662,1.65
222582,-4.937,4.44
222697,-4.365,0.24
22282,-4.966,4.95
223238,-5.035,6.31
223315,-4.765,2.37
223498,-5.066,7.04
223691,-5.104,7.98
224383,-5.009,5.77
224619,-4.988,5.36
224983,-4.9,3.88
225213,-5.269,13.09
225261,-4.936,4.43
22879,-4.946,4.6
230409,-4.917,4.13
230999,-4.959,4.82
23249,-5.178,10.1
232979,-4.601,1.34
23356,-4.732,2.11
233641,-4.991,5.42
23439,-4.912,4.05
239960,-4.995,5.49
24040,-5.046,6.58
24213,-4.977,5.15
24238,-4.993,5.45
24341,-5.072,7.18
24365,-4.97,5.02
24451,-4.436,0.57
24496,-4.902,3.91
245409,-4.285,0.03
24727,-4.941,4.51
24892,-5.073,7.2
24916,-4.546,1.08
25329,-4.984,5.27
25665,-4.773,2.44
25682,-4.988,5.36
25825,-4.398,0.39
26151,-4.927,4.29
26161,-5.032,6.25
265866,-5.13,8.69
26736,-4.413,0.46
26794,-4.951,4.68
26965,-4.878,3.57
28005,-5.004,5.66
281540,-4.912,4.06
28185,-5.029,6.19
28187,-4.941,4.52
283,-4.866,3.42
28343,-4.669,1.69
285968,-4.646,1.56
28946,-4.788,2.57
29461,-4.477,0.77
29528,-5.009,5.76
29883,-4.969,5.0
30649,-4.89,3.74
30708,-5.05,6.65
3074a,-5.043,6.5
31253,-5.031,6.24
31412,-4.822,2.9
31560,-4.587,1.27
31966,-5.065,7.02
32147,-4.905,3.95
32923,-5.05,6.67
32963,-5.052,6.7
33021,-5.089,7.62
33636,-4.875,3.54
33793,-5.376,17.06
34411,-5.082,7.43
34445,-4.965,4.92
34575,-5.051,6.69
34721,-5.065,7.0
34745,-5.051,6.7
35627,-5.083,7.46
35974,-5.115,8.29
36003,-4.921,4.2
36308,-4.298,0.05
36395,-4.49,0.83
3651,-5.02,5.99
37008,-4.938,4.46
37124,-4.857,3.32
37213,-5.11,8.16
37394,-4.522,0.97
3765,-4.953,4.71
377,-4.361,0.22
3795,-4.917,4.13
37962,-4.809,2.78
38230,-5.035,6.32
38392,-4.638,1.52
38529,-5.01,5.8
38858,-4.941,4.51
38a,-4.6,1.33
38b,-4.627,1.47
39715,-4.71,1.95
39881,-5.049,6.63
40397,-5.072,7.17
40647,-4.381,0.31
40979,-4.646,1.56
41593,-4.422,0.5
4203,-5.096,7.79
4208,-4.812,2.81
42250,-5.019,5.97
4256,-4.902,3.9
42581,-4.571,1.19
42618,-4.995,5.49
4307,-5.079,7.36
43745,-5.092,7.68
43947,-4.974,5.08
44420,-5.072,7.19
44985,-5.042,6.48
45067,-4.996,5.5
45184,-4.946,4.6
45350,-5.105,8.01
45588,-5.007,5.74
4614,-4.946,4.6
4614b,-4.544,1.07
4628,-4.934,4.39
46375,-4.903,3.93
47157,-5.008,5.74
