CPS Name,Lit. Name,system_name,sysname,cps_identifier,Msini_pre_med,Msini_pre_high,Msini_pre_low,a_pre_med,a_pre_high,a_pre_low,ecc_pre_med,ecc_pre_high,ecc_pre_low,comp_ind,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax,a_post_low,a_post_med,a_post_high,Mtrue_post_low,Mtrue_post_med,Mtrue_post_high,ecc_post_low,ecc_post_med,ecc_post_high,om_post_low,om_post_med,om_post_high,inc_post_low,inc_post_med,inc_post_high,asc_post_low,asc_post_med,asc_post_high,per_post_low,per_post_med,per_post_high,tp_post_low,tp_post_med,tp_post_high,dmu,dmu_err,signif_dmu,logrhk,age
BD-103166 b,BD-103166 b,BD-103166,BD-103166,bd-103166,0.449,0.017,0.017,0.04501,0.00064,0.00066,0.022,0.024,0.015,0,5382.6,78.5,0.37,0.057,4.465,0.03,0.97,0.021,1.0,0.044,5.0,0.9,0.01182,0.0006100451373322,0.0449541635266285,0.0005814116332057,0.0558391361856999,0.5123713855087292,0.2421006657039045,0.0115446714216912,0.0163622030565804,0.0193409672801911,121.49963068470905,-20.855936746400836,160.0716410303918,39.723072546938766,89.41394401429811,39.35106181346176,124.57673111972692,181.4515873425861,124.19747458801902,2.051478790621175e-05,3.487945170020826,2.0634274472186576e-05,1.0361984758637846,2455198.360725522,0.9325844198465348,0.0,100000000.0,False,-4.775,2.45
GL 317 b,GL 317 b,GL 317,GL317,gl317,1.852,0.037,0.037,1.1799,0.0076,0.0076,0.098,0.016,0.016,0,3492.7,44.6,0.301,0.076,4.822,0.012,0.432,0.008,0.453,0.009,13.2266,1.6,0.06577,0.0076445527051711,1.1820599288650906,0.0077989409542915,0.2110336568271935,2.0983057427064136,0.8346280773981993,0.0151994335854768,0.1075579707836715,0.0152751887911692,14.327853932820773,-21.265321976424158,14.612798931450047,38.71675421419443,90.01888190071644,37.41874147416084,122.24994659923132,175.459853847891,126.69945746555538,0.5584185145077072,695.5538970446695,0.5699860671527404,31.799728483892977,2455800.6560732205,25.47008652053773,0.0,100000000.0,False,-4.887,3.7
GL 317 c,GL 317 c,GL 317,GL317,gl317,1.673,0.078,0.075,5.78,0.74,0.38,0.248,0.11,0.074,1,3492.7,44.6,0.301,0.076,4.822,0.012,0.432,0.008,0.453,0.009,13.2266,1.6,0.06577,0.230678789047805,5.465570470303798,0.2731527305194765,0.2518244890597527,1.944999187232679,1.0754412731202068,0.0629119736788171,0.1862514097175782,0.0654324460185075,15.69178089104939,126.44966059528936,16.82053410183984,40.74231462105445,87.72391275050556,43.99289720359202,120.50211820092694,178.29035506963288,122.93570979564328,428.6456439713538,6917.022796640832,518.2002726590554,268.2916143448092,2456896.103179033,316.6692039426416,0.0,100000000.0,False,-4.887,3.7
GL 687 b,GL 687 b,GL 687,GL687,gl687,0.0553,0.0047,0.0047,0.1658,0.0012,0.0012,0.153,0.077,0.08,0,3561.3,41.8,0.063,0.078,4.859,0.01,0.397,0.008,0.418,0.009,10.8705,1.5,0.21978,0.0011949340173469,0.1658081181008876,0.001167618886787,0.0091970027942258,0.0625210052329566,0.0353200281146396,0.0532432684361407,0.0767827631612457,0.0729700850011539,85.9050073693592,52.199476115555626,60.86134957674297,42.53651964750026,89.70251945994187,42.27251953095384,122.71130037380496,181.1935802223112,121.44175523163102,0.0141152270749529,38.13299243316573,0.0144440223686785,6.4721249914728105,2455205.828219954,17.30290830368176,0.1031321510672569,0.0504646189510822,False,-5.098,7.83
GL 876 d,GL 876 d,GL 876,GL876,gl876,0.0184,0.0016,0.0015,0.02183,0.00018,0.00019,0.273,0.093,0.098,0,3293.7,48.4,0.213,0.064,4.875,0.012,0.367,0.008,0.37,0.009,11.8087,1.6,0.21387,0.000194010336737,0.0218282739915817,0.0001867823259889,0.0018206067763652,0.0213859056256109,0.0017847983530793,0.0950731420681743,0.2715401459355124,0.0962610171015466,,,,,,,,,,,,,,,,0.1722971051931381,0.0903926789760589,False,,
GL 876 c,GL 876 c,GL 876,GL876,gl876,0.698,0.013,0.013,0.1363,0.0011,0.0011,0.0055,0.0064,0.004,1,3293.7,48.4,0.213,0.064,4.875,0.012,0.367,0.008,0.37,0.009,11.8087,1.6,0.21387,0.0011110477169171,0.1362898677086857,0.0010859899860116,0.0152447464964478,0.8104965365198071,0.015028616269021,0.0051347695561548,0.0054929573106546,0.0051284036945446,,,,,,,,,,,,,,,,0.1722971051931381,0.0903926789760589,False,,
GL 876 b,GL 876 b,GL 876,GL876,gl876,2.108,0.036,0.036,0.2177,0.0018,0.0018,0.0019,0.0022,0.0013,2,3293.7,48.4,0.213,0.064,4.875,0.012,0.367,0.008,0.37,0.009,11.8087,1.6,0.21387,0.0017966796190488,0.217730751143072,0.0017712212474502,0.0408547680449644,2.4477923656893443,0.0411264777944837,0.0017610140833776,0.0019128791407503,0.0017324513946522,,,,,,,,,,,,,,,,0.1722971051931381,0.0903926789760589,False,,
HD 104067 b,HD 104067 b,HD 104067,HD104067,104067,0.202,0.017,0.017,0.2673,0.0032,0.0033,0.247,0.08,0.082,0,4939.0,63.8,0.087,0.059,4.564,0.024,0.781,0.014,0.818,0.03,6.338,0.99,0.04908,0.0033000427886122,0.2675238442491208,0.003212087295813,0.035675710022239,0.2217515452500958,0.1296531206674183,0.1038600156636995,0.259387204312974,0.0976030870248825,22.41406013460477,-0.7664059231063277,20.250244739269508,42.58580109801135,89.83082628846117,43.34743886399369,121.22229983232664,179.36738437899535,123.2369058265235,0.0283654068982457,55.8750697863526,0.025629035252848,43.95554634602741,2455205.914088593,9.794270058628172,0.1218822002410888,0.0491750314831733,False,-4.683,1.78
HD 10697 b,HD 10697 b,HD 10697,HD10697,10697,6.39,0.13,0.13,2.156,0.02,0.02,0.0998,0.0082,0.0082,0,5645.1,98.4,0.16,0.06,3.958,0.022,1.863,0.045,1.156,0.032,3.7284,0.665,0.03016,0.0201278009776189,2.1593914337793354,0.0198068228116716,0.3211258396134937,6.771138214005305,0.9032442072917828,0.0057948518661331,0.1036997274460324,0.005783000933243,3.765094271049378,118.41917078587524,3.793449748255441,25.999283666525088,89.75127023710937,24.47243789186743,17.517421728495435,206.349124066137,18.03300943029177,0.4744727302829687,1075.2138916549015,0.4834075051485342,11.09426330542192,2454726.680873889,11.054853151086718,0.2191398739814758,0.0530907548964023,True,-5.047,6.6
HD 107148 c,HD 107148c,HD 107148,HD107148,107148,0.0626,0.0097,0.0098,0.1406,0.0018,0.0018,0.34,0.13,0.16,0,5752.9,86.2,0.296,0.058,4.345,0.028,1.169,0.027,1.105,0.043,4.4713,0.66,0.02021,0.0018628750764687,0.1407456955381241,0.0018317678956418,0.0142427788973859,0.0682679454093926,0.0362663856592989,0.1489198427797965,0.295148691752282,0.1292957050768919,32.58293593200107,-34.568669843315696,29.41354600926841,39.59563760512052,93.009184845735,43.53306271640861,115.92329793937157,167.28235836442815,130.84511496246887,0.0024971431776599,18.32555793953724,0.0022227763498285,3.2267522891052067,2455197.77029166,1.1015460737980902,0.034481506794691,0.0545037500560283,False,-5.027,6.15
