CPS Name,Lit. Name,system_name,sysname,cps_identifier,comp_ind,Msini,Msini_high,Msini_low,a,a_high,a_low,ecc,ecc_high,ecc_low,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax
BD-103166 b,BD-103166 b,BD-103166,BD-103166,bd-103166,0,0.449,0.017,0.017,0.04501,0.00064,0.00066,0.022,0.024,0.015,5382.6,78.5,0.37,0.057,4.465,0.03,0.97,0.021,1.0,0.044,5.0,0.9,0.01182
GL 317 b,GL 317 b,GL 317,GL317,gl317,0,1.852,0.037,0.037,1.1799,0.0076,0.0076,0.098,0.016,0.016,3492.7,44.6,0.301,0.076,4.822,0.012,0.432,0.008,0.453,0.009,13.2266,1.6,0.06577
GL 317 c,GL 317 c,GL 317,GL317,gl317,1,1.673,0.078,0.075,5.78,0.74,0.38,0.248,0.11,0.074,3492.7,44.6,0.301,0.076,4.822,0.012,0.432,0.008,0.453,0.009,13.2266,1.6,0.06577
GL 687 b,GL 687 b,GL 687,GL687,gl687,0,0.0553,0.0047,0.0047,0.1658,0.0012,0.0012,0.153,0.077,0.08,3561.3,41.8,0.063,0.078,4.859,0.01,0.397,0.008,0.418,0.009,10.8705,1.5,0.21978
GL 876 d,GL 876 d,GL 876,GL876,gl876,0,0.0184,0.0016,0.0015,0.02183,0.00018,0.00019,0.273,0.093,0.098,3293.7,48.4,0.213,0.064,4.875,0.012,0.367,0.008,0.37,0.009,11.8087,1.6,0.21387
GL 876 c,GL 876 c,GL 876,GL876,gl876,1,0.698,0.013,0.013,0.1363,0.0011,0.0011,0.0055,0.0064,0.004,3293.7,48.4,0.213,0.064,4.875,0.012,0.367,0.008,0.37,0.009,11.8087,1.6,0.21387
GL 876 b,GL 876 b,GL 876,GL876,gl876,2,2.108,0.036,0.036,0.2177,0.0018,0.0018,0.0019,0.0022,0.0013,3293.7,48.4,0.213,0.064,4.875,0.012,0.367,0.008,0.37,0.009,11.8087,1.6,0.21387
HD 104067 b,HD 104067 b,HD 104067,HD104067,104067,0,0.202,0.017,0.017,0.2673,0.0032,0.0033,0.247,0.08,0.082,4939.0,63.8,0.087,0.059,4.564,0.024,0.781,0.014,0.818,0.03,6.338,0.99,0.04908
HD 10697 b,HD 10697 b,HD 10697,HD10697,10697,0,6.39,0.13,0.13,2.156,0.02,0.02,0.0998,0.0082,0.0082,5645.1,98.4,0.16,0.06,3.958,0.022,1.863,0.045,1.156,0.032,3.7284,0.665,0.03016
HD 107148c,HD 107148c,HD 107148,HD107148,107148,0,0.0626,0.0097,0.0098,0.1406,0.0018,0.0018,0.34,0.13,0.16,5752.9,86.2,0.296,0.058,4.345,0.028,1.169,0.027,1.105,0.043,4.4713,0.66,0.02021
HD 107148 b,HD 107148 b,HD 107148,HD107148,107148,1,0.203,0.015,0.015,0.3668,0.0047,0.0048,0.174,0.071,0.075,5752.9,86.2,0.296,0.058,4.345,0.028,1.169,0.027,1.105,0.043,4.4713,0.66,0.02021
HD 108874 b,HD 108874 b,HD 108874,HD108874,108874,0,1.32,0.047,0.047,1.053,0.016,0.016,0.144,0.016,0.016,5570.0,90.9,0.221,0.061,4.359,0.032,1.091,0.026,0.996,0.046,4.5803,0.71,0.01677
HD 108874c,HD 108874c,HD 108874,HD108874,108874,1,1.14,0.052,0.05,2.83,0.044,0.045,0.265,0.03,0.031,5570.0,90.9,0.221,0.061,4.359,0.032,1.091,0.026,0.996,0.046,4.5803,0.71,0.01677
HD 114729 b,HD 114729 b,HD 114729,HD114729,114729,0,0.892,0.053,0.053,2.094,0.022,0.022,0.098,0.048,0.05,5755.8,98.6,-0.272,0.062,3.98,0.023,1.651,0.039,0.955,0.029,3.9696,0.62,0.02642
HD 114783 b,HD 114783 b,HD 114783,HD114783,114783,0,1.033,0.034,0.033,1.164,0.016,0.016,0.126,0.016,0.016,5126.7,68.3,0.151,0.058,4.526,0.027,0.841,0.017,0.867,0.036,6.0188,0.91,0.04745
HD 114783c,HD 114783c,HD 114783,HD114783,114783,1,0.66,0.046,0.047,4.97,0.12,0.11,0.114,0.058,0.058,5126.7,68.3,0.151,0.058,4.526,0.027,0.841,0.017,0.867,0.036,6.0188,0.91,0.04745
HD 115617c,61 Vir c,HD 115617,HD115617,115617,0,0.0161,0.0017,0.0016,0.04956,0.00066,0.00067,0.099,0.091,0.07,5585.6,78.9,0.028,0.06,4.369,0.028,1.033,0.023,0.914,0.037,5.0776,0.72,0.11689
HD 115617 b,61 Vir b,HD 115617,HD115617,115617,1,0.0507,0.0035,0.0036,0.215,0.0028,0.0029,0.068,0.067,0.047,5585.6,78.9,0.028,0.06,4.369,0.028,1.033,0.023,0.914,0.037,5.0776,0.72,0.11689
HD 117176 b,70 Vir b,HD 117176,HD117176,117176,0,7.24,0.13,0.13,0.4766,0.0043,0.0044,0.3989,0.0011,0.0012,5481.9,100.7,-0.04,0.061,3.893,0.021,1.922,0.048,1.061,0.029,3.7248,0.71,0.05583
HD 117207 b,HD 117207 b,HD 117207,HD117207,117207,0,1.87,0.076,0.075,3.744,0.059,0.06,0.142,0.027,0.026,5634.8,95.6,0.225,0.061,4.342,0.032,1.128,0.027,1.024,0.047,4.6665,0.724,0.03088
HD 11964a c,HD 11964a c,HD 11964A,HD11964A,11964a,0,0.0766,0.0063,0.0061,0.2315,0.0022,0.0022,0.106,0.088,0.071,5345.6,100.5,0.138,0.06,3.873,0.02,2.048,0.053,1.151,0.033,3.764,0.83,0.02979
HD 11964a b,HD 11964a b,HD 11964A,HD11964A,11964a,1,0.631,0.027,0.027,3.185,0.032,0.032,0.101,0.044,0.046,5345.6,100.5,0.138,0.06,3.873,0.02,2.048,0.053,1.151,0.033,3.764,0.83,0.02979
HD 120066 b,HR 5183 b,HD 120066,HD120066,120066,0,3.15,0.18,0.17,25.0,19.0,8.3,0.886,0.049,0.056,5833.8,99.9,0.101,0.063,4.096,0.034,1.555,0.037,1.1,0.066,3.8701,0.66,0.03176
HD 120136 b,tau Boo b,HD 120136,HD120136,120136,0,4.3,0.075,0.075,0.04869,0.00039,0.0004,0.0074,0.0059,0.0048,6461.3,81.2,0.272,0.057,4.264,0.02,1.44,0.031,1.403,0.034,3.535,0.508,0.06403
HD 120136,tau Boo,HD 120136,HD120136,120136,0,350.0,230.0,160.0,46.0,46.0,18.0,0.84,0.093,0.14,6461.3,81.2,0.272,0.057,4.264,0.02,1.44,0.031,1.403,0.034,3.535,0.508,0.06403
HD 12661 b,HD 12661 b,HD 12661,HD12661,12661,0,2.283,0.062,0.063,0.824,0.011,0.011,0.3597,0.0046,0.0044,5661.2,94.1,0.338,0.059,4.316,0.029,1.198,0.027,1.085,0.044,4.5896,0.72,0.02639
HD 12661c,HD 12661c,HD 12661,HD12661,12661,1,1.855,0.054,0.054,2.86,0.038,0.039,0.025,0.012,0.012,5661.2,94.1,0.338,0.059,4.316,0.029,1.198,0.027,1.085,0.044,4.5896,0.72,0.02639
HD 126614 b,HD 126614 b,HD 126614,HD126614,126614,0,0.356,0.032,0.03,2.291,0.026,0.027,0.577,0.069,0.065,5409.8,84.5,0.408,0.046,4.174,0.026,1.37,0.031,1.021,0.033,4.5262,1.2,0.01365
